0|0|0||False|NoAnswer|False|1
1|2|4||False|NoAnswer|False|1
2|6|2|12|False|NoAnswer|False|1
4|7|2||False|NoAnswer|False|2
3|8|2|15|False|NoAnswer|False|3
4|4|4||False|NoAnswer|False|1
5|10|4||False|NoAnswer|False|4
6|0|4||False|NoAnswer|False|1
7|0|4||False|NoAnswer|False|1
8|2|6||False|NoAnswer|False|1
10|5|6||False|NoAnswer|False|1
11|0|6||False|NoAnswer|False|1
10|2|6||False|NoAnswer|False|1
9|1|6|18|False|Accepted|False|1
10|11|6||False|NoAnswer|False|1
11|10|6||False|NoAnswer|True|1
